# Electron neutrino-oxygen scattering cross section 5MeV-60MeV (10^-38 cm^2/GeV) #
# log(energy in GeV)       nu_e       nu_mu       nu_tau       nu_e_bar       nu_mu_bar       nu_tau_bar #

       -1.36653 1.85050e-02          0          0          0          0          0
       -1.35655 2.12970e-02          0          0          0          0          0
       -1.34679 2.40880e-02          0          0          0          0          0
       -1.33724 2.68800e-02          0          0          0          0          0
       -1.32790 3.09330e-02          0          0          0          0          0
       -1.31876 3.49860e-02          0          0          0          0          0
       -1.30980 3.90380e-02          0          0          0          0          0
       -1.30103 4.35760e-02          0          0          0          0          0
       -1.29243 4.88390e-02          0          0          0          0          0
       -1.28400 5.41030e-02          0          0          0          0          0
       -1.27572 5.93670e-02          0          0          0          0          0
       -1.26761 6.61640e-02          0          0          0          0          0
       -1.25964 7.33450e-02          0          0          0          0          0
       -1.25181 8.05260e-02          0          0          0          0          0
       -1.24413 8.81610e-02          0          0          0          0          0
       -1.23657 9.76130e-02          0          0          0          0          0
       -1.22915 1.07070e-01          0          0          0          0          0
       -1.22185 1.16520e-01          0          0          0          0          0
       -1.21467 1.26030e-01          0          0          0          0          0
       -1.20761 1.35590e-01          0          0          0          0          0
       -1.20066 1.45140e-01          0          0          0          0          0
       -1.19382 1.54700e-01          0          0          0          0          0
       -1.18709 1.67420e-01          0          0          0          0          0
       -1.18046 1.80140e-01          0          0          0          0          0
       -1.17393 1.92870e-01          0          0          0          0          0
       -1.16749 2.06580e-01          0          0          0          0          0
       -1.16115 2.21770e-01          0          0          0          0          0
       -1.15490 2.36970e-01          0          0          0          0          0
       -1.14874 2.52160e-01          0          0          0          0          0
       -1.14267 2.68800e-01          0          0          0          0          0
       -1.13668 2.85800e-01          0          0          0          0          0
       -1.13077 3.02800e-01          0          0          0          0          0
       -1.12494 3.20720e-01          0          0          0          0          0
       -1.11919 3.42330e-01          0          0          0          0          0
       -1.11351 3.63940e-01          0          0          0          0          0
       -1.10791 3.85560e-01          0          0          0          0          0
       -1.10237 4.08000e-01          0          0          0          0          0
       -1.09691 4.31000e-01          0          0          0          0          0
       -1.09151 4.54000e-01          0          0          0          0          0
       -1.08619 4.77000e-01          0          0          0          0          0
       -1.08092 5.03060e-01          0          0          0          0          0
       -1.07572 5.29110e-01          0          0          0          0          0
       -1.07058 5.55170e-01          0          0          0          0          0
       -1.06550 5.82470e-01          0          0          0          0          0
       -1.06048 6.11630e-01          0          0          0          0          0
       -1.05552 6.40800e-01          0          0          0          0          0
       -1.05061 6.69970e-01          0          0          0          0          0
       -1.04576 7.01620e-01          0          0          0          0          0
       -1.04096 7.33900e-01          0          0          0          0          0
       -1.03621 7.66180e-01          0          0          0          0          0
       -1.03152 7.98990e-01          0          0          0          0          0
       -1.02687 8.33930e-01          0          0          0          0          0
       -1.02228 8.68880e-01          0          0          0          0          0
       -1.01773 9.03820e-01          0          0          0          0          0
       -1.01323 9.40170e-01          0          0          0          0          0
       -1.00877 9.77440e-01          0          0          0          0          0
       -1.00436 1.01470e+00          0          0          0          0          0
       -1.00000 1.05200e+00          0          0          0          0          0
       -0.99568 1.08530e+00          0          0          0          0          0
       -0.99140 1.11870e+00          0          0          0          0          0
       -0.98716 1.15200e+00          0          0          0          0          0
       -0.98297 1.18700e+00          0          0          0          0          0
       -0.97881 1.22450e+00          0          0          0          0          0
       -0.97469 1.26200e+00          0          0          0          0          0
       -0.97062 1.29950e+00          0          0          0          0          0
       -0.96658 1.34080e+00          0          0          0          0          0
       -0.96257 1.38300e+00          0          0          0          0          0
       -0.95861 1.42520e+00          0          0          0          0          0
       -0.95468 1.46820e+00          0          0          0          0          0
       -0.95078 1.51430e+00          0          0          0          0          0
       -0.94692 1.56040e+00          0          0          0          0          0
       -0.94310 1.60660e+00          0          0          0          0          0
       -0.93930 1.65650e+00          0          0          0          0          0
       -0.93554 1.70900e+00          0          0          0          0          0
       -0.93181 1.76150e+00          0          0          0          0          0
       -0.92812 1.81400e+00          0          0          0          0          0
       -0.92445 1.87120e+00          0          0          0          0          0
       -0.92082 1.92840e+00          0          0          0          0          0
       -0.91721 1.98570e+00          0          0          0          0          0
       -0.91364 2.04610e+00          0          0          0          0          0
       -0.91009 2.11140e+00          0          0          0          0          0
       -0.90658 2.17670e+00          0          0          0          0          0
       -0.90309 2.24190e+00          0          0          0          0          0
       -0.89963 2.28860e+00          0          0          0          0          0
       -0.89620 2.33050e+00          0          0          0          0          0
       -0.89279 2.37240e+00          0          0          0          0          0
       -0.88941 2.41490e+00          0          0          0          0          0
       -0.88606 2.45930e+00          0          0          0          0          0
       -0.88273 2.50380e+00          0          0          0          0          0
       -0.87943 2.54820e+00          0          0          0          0          0
       -0.87615 2.60030e+00          0          0          0          0          0
       -0.87290 2.65760e+00          0          0          0          0          0
       -0.86967 2.71480e+00          0          0          0          0          0
       -0.86646 2.77200e+00          0          0          0          0          0
       -0.86328 2.82120e+00          0          0          0          0          0
       -0.86012 2.87030e+00          0          0          0          0          0
       -0.85699 2.91950e+00          0          0          0          0          0
       -0.85387 2.97220e+00          0          0          0          0          0
       -0.85078 3.03030e+00          0          0          0          0          0
       -0.84771 3.08830e+00          0          0          0          0          0
       -0.84466 3.14640e+00          0          0          0          0          0
       -0.84164 3.21130e+00          0          0          0          0          0
       -0.83863 3.27800e+00          0          0          0          0          0
       -0.83565 3.34470e+00          0          0          0          0          0
       -0.83268 3.40690e+00          0          0          0          0          0
       -0.82974 3.45130e+00          0          0          0          0          0
       -0.82681 3.49580e+00          0          0          0          0          0
       -0.82391 3.54020e+00          0          0          0          0          0
       -0.82102 3.58430e+00          0          0          0          0          0
       -0.81816 3.62820e+00          0          0          0          0          0
       -0.81531 3.67210e+00          0          0          0          0          0
       -0.81248 3.71600e+00          0          0          0          0          0
       -0.80967 3.76040e+00          0          0          0          0          0
       -0.80688 3.80490e+00          0          0          0          0          0
       -0.80410 3.84930e+00          0          0          0          0          0
       -0.80134 3.89510e+00          0          0          0          0          0
       -0.79860 3.94290e+00          0          0          0          0          0
       -0.79588 3.99070e+00          0          0          0          0          0
       -0.79317 4.03840e+00          0          0          0          0          0
       -0.79048 4.09220e+00          0          0          0          0          0
       -0.78781 4.14750e+00          0          0          0          0          0
       -0.78516 4.20280e+00          0          0          0          0          0
       -0.78252 4.25640e+00          0          0          0          0          0
       -0.77989 4.30370e+00          0          0          0          0          0
       -0.77728 4.35090e+00          0          0          0          0          0
       -0.77469 4.39810e+00          0          0          0          0          0
       -0.77211 4.45370e+00          0          0          0          0          0
       -0.76955 4.51480e+00          0          0          0          0          0
       -0.76700 4.57590e+00          0          0          0          0          0
       -0.76447 4.63700e+00          0          0          0          0          0
       -0.76195 4.68840e+00          0          0          0          0          0
       -0.75945 4.73980e+00          0          0          0          0          0
       -0.75696 4.79120e+00          0          0          0          0          0
       -0.75449 4.83330e+00          0          0          0          0          0
       -0.75203 4.86170e+00          0          0          0          0          0
       -0.74958 4.89000e+00          0          0          0          0          0
       -0.74715 4.91830e+00          0          0          0          0          0
       -0.74473 4.96110e+00          0          0          0          0          0
       -0.74232 5.00750e+00          0          0          0          0          0
       -0.73993 5.05390e+00          0          0          0          0          0
       -0.73755 5.09870e+00          0          0          0          0          0
       -0.73518 5.13730e+00          0          0          0          0          0
       -0.73283 5.17590e+00          0          0          0          0          0
       -0.73049 5.21460e+00          0          0          0          0          0
       -0.72816 5.25430e+00          0          0          0          0          0
       -0.72584 5.29490e+00          0          0          0          0          0
       -0.72354 5.33540e+00          0          0          0          0          0
       -0.72125 5.37600e+00          0          0          0          0          0
       -0.71897 5.41740e+00          0          0          0          0          0
       -0.71670 5.45880e+00          0          0          0          0          0
       -0.71444 5.50020e+00          0          0          0          0          0
       -0.71220 5.54150e+00          0          0          0          0          0
       -0.70997 5.58290e+00          0          0          0          0          0
       -0.70774 5.62430e+00          0          0          0          0          0
       -0.70553 5.66570e+00          0          0          0          0          0
       -0.70333 5.70710e+00          0          0          0          0          0
       -0.70115 5.74850e+00          0          0          0          0          0
       -0.69897 5.78980e+00          0          0          0          0          0
